range,area,difference
100,0.9625,0.0179828
600,0.973214,0.0286971
1100,0.94375,0.000767186
1600,0.942647,0.00187013
2100,0.937955,0.00656264
2600,0.943056,0.00146163
3100,0.941629,0.00288772
3600,0.942145,0.00237192
4100,0.944577,5.95337e-05
4600,0.946223,0.00170622
5100,0.945323,0.000806241
5600,0.946053,0.00153545
6100,0.943083,0.00143406
6600,0.941445,0.00307262
7100,0.941273,0.00324404
7600,0.941883,0.00263407
8100,0.941374,0.00314344
8600,0.942337,0.00218002
9100,0.942963,0.0015538
9600,0.942925,0.00159193
10100,0.9426,0.00191681
10600,0.943267,0.00125041
11100,0.944313,0.000204298
11600,0.944525,7.38675e-06
12100,0.944074,0.000443415
12600,0.943686,0.000831541
13100,0.943834,0.000683011
13600,0.944415,0.000102431
14100,0.944409,0.000108492
14600,0.944756,0.00023905
15100,0.944917,0.000400047
15600,0.945099,0.000581341
16100,0.945015,0.000497779
16600,0.945161,0.000643962
17100,0.945183,0.000665538
17600,0.944872,0.000354911
18100,0.944977,0.000459797
18600,0.944512,5.50563e-06
19100,0.944411,0.000106128
19600,0.944312,0.000205638
20100,0.943975,0.000542301
20600,0.943967,0.000550082
21100,0.944035,0.000481973
21600,0.944465,5.23765e-05
22100,0.944605,8.74187e-05
22600,0.944434,8.36483e-05
23100,0.9443,0.000216929
23600,0.944405,0.000112298
24100,0.944409,0.000108348
24600,0.944215,0.000302611
25100,0.943991,0.000525978
25600,0.944061,0.00045665
26100,0.943958,0.000559243
26600,0.943782,0.000735108
27100,0.943895,0.000621798
27600,0.943971,0.000546389
28100,0.943925,0.000592214
28600,0.944033,0.000484085
29100,0.944082,0.000434878
29600,0.94422,0.000297208
30100,0.944064,0.000453023
30600,0.943958,0.000559006
31100,0.943961,0.000556054
31600,0.943771,0.000746238
32100,0.943538,0.000979202
32600,0.943547,0.00097048
33100,0.943483,0.00103467
33600,0.943572,0.000945009
34100,0.943529,0.000988073
34600,0.943495,0.00102192
35100,0.943612,0.00090523
35600,0.943734,0.000782748
36100,0.943862,0.00065508
36600,0.943882,0.000635089
37100,0.943866,0.000650698
37600,0.943904,0.000613619
38100,0.943881,0.000635871
38600,0.943976,0.000541502
39100,0.944105,0.000411981
39600,0.944087,0.000430284
40100,0.944088,0.000428985
40600,0.944094,0.000422981
41100,0.944225,0.000291984
41600,0.944359,0.000158387
42100,0.944318,0.000199511
42600,0.94433,0.000186812
43100,0.944269,0.000248348
43600,0.944315,0.000202255
44100,0.94429,0.000227314
44600,0.944274,0.000243012
45100,0.944289,0.000228676
45600,0.944353,0.000164246
46100,0.944472,4.53943e-05
46600,0.944509,7.75495e-06
47100,0.944621,0.000103688
47600,0.944606,8.88588e-05
48100,0.944538,2.12493e-05
48600,0.944592,7.48604e-05
49100,0.944638,0.000120759
49600,0.94459,7.28543e-05
50100,0.944563,4.61449e-05
50600,0.944584,6.69693e-05
51100,0.944572,5.48332e-05
51600,0.944509,8.37025e-06
52100,0.944523,5.71138e-06
52600,0.944562,4.48599e-05
53100,0.944524,6.6529e-06
53600,0.944527,1.00229e-05
54100,0.94448,3.74303e-05
54600,0.944508,8.70991e-06
55100,0.944505,1.1947e-05
55600,0.94455,3.30994e-05
56100,0.944618,0.000100645
56600,0.94455,3.32334e-05
57100,0.944475,4.24215e-05
57600,0.944484,3.36055e-05
58100,0.944521,3.62357e-06
58600,0.944458,5.95877e-05
59100,0.944486,3.15369e-05
59600,0.944543,2.56673e-05
60100,0.944608,9.10072e-05
60600,0.944607,8.97901e-05
61100,0.944661,0.000143795
61600,0.944717,0.000199706
62100,0.944695,0.000177991
62600,0.944688,0.000170923
63100,0.944709,0.000192148
63600,0.944707,0.000189753
64100,0.944738,0.000220673
64600,0.944776,0.000258406
65100,0.944768,0.000250821
65600,0.94474,0.000223313
66100,0.944698,0.000180756
66600,0.944698,0.000180335
67100,0.944687,0.000170039
67600,0.944621,0.000103872
68100,0.944627,0.000110038
68600,0.944598,8.09935e-05
69100,0.944541,2.39731e-05
69600,0.944533,1.55052e-05
70100,0.944529,1.16173e-05
70600,0.944522,4.64807e-06
71100,0.944548,3.13134e-05
71600,0.944561,4.34836e-05
72100,0.944555,3.79292e-05
72600,0.944544,2.64443e-05
73100,0.944527,1.02016e-05
73600,0.944503,1.38121e-05
74100,0.944544,2.70805e-05
74600,0.944553,3.61385e-05
75100,0.944546,2.8705e-05
75600,0.944563,4.60572e-05
76100,0.944558,4.1123e-05
76600,0.944562,4.43966e-05
77100,0.944527,9.80725e-06
77600,0.944539,2.17211e-05
78100,0.944504,1.30564e-05
78600,0.944482,3.48543e-05
79100,0.94447,4.67345e-05
79600,0.944451,6.59234e-05
80100,0.944439,7.80121e-05
80600,0.944414,0.000103529
81100,0.944402,0.000114779
81600,0.944364,0.000152952
82100,0.944381,0.000136149
82600,0.944387,0.000129721
83100,0.944413,0.000103789
83600,0.944439,7.84307e-05
84100,0.94445,6.71585e-05
84600,0.944407,0.000109935
85100,0.944399,0.000118043
85600,0.944414,0.000103364
86100,0.944426,9.0996e-05
86600,0.944433,8.40103e-05
87100,0.944409,0.000108274
87600,0.944405,0.000111704
88100,0.944408,0.000109093
88600,0.944435,8.22772e-05
89100,0.944445,7.24631e-05
89600,0.944432,8.49736e-05
90100,0.944455,6.22607e-05
90600,0.944465,5.18249e-05
91100,0.944455,6.25555e-05
91600,0.94445,6.70946e-05
92100,0.944487,3.06115e-05
92600,0.94447,4.67877e-05
93100,0.944478,3.9064e-05
93600,0.944489,2.83521e-05
94100,0.944521,3.92757e-06
94600,0.944508,8.76596e-06
95100,0.944485,3.20293e-05
95600,0.944477,4.04955e-05
96100,0.944506,1.15952e-05
96600,0.944545,2.80651e-05
97100,0.94454,2.2621e-05
97600,0.944504,1.27157e-05
98100,0.944496,2.06906e-05
98600,0.944501,1.56866e-05
99100,0.944506,1.10109e-05
99600,0.944505,1.21709e-05
